,year,general_cause,num_occurrences
0,1992,Arson/incendiarism,11250
1,1992,Debris and open burning,12792
2,1992,Equipment and vehicle use,5637
3,1992,Natural,12576
4,1993,Arson/incendiarism,11036
5,1993,Debris and open burning,12507
6,1993,Equipment and vehicle use,5516
7,1993,Natural,7847
8,1994,Arson/incendiarism,10235
9,1994,Debris and open burning,14965
10,1994,Equipment and vehicle use,5412
11,1994,Natural,16879
12,1995,Arson/incendiarism,12889
13,1995,Debris and open burning,16856
14,1995,Equipment and vehicle use,5585
15,1995,Natural,8518
16,1996,Arson/incendiarism,10449
17,1996,Debris and open burning,17039
18,1996,Equipment and vehicle use,6174
19,1996,Natural,13149
20,1997,Arson/incendiarism,11335
21,1997,Debris and open burning,14976
22,1997,Equipment and vehicle use,5830
23,1997,Natural,8866
24,1998,Arson/incendiarism,14199
25,1998,Debris and open burning,15439
26,1998,Equipment and vehicle use,6221
27,1998,Natural,11356
28,1999,Arson/incendiarism,19587
29,1999,Debris and open burning,23081
30,1999,Equipment and vehicle use,7911
31,1999,Natural,12308
32,2000,Arson/incendiarism,18041
33,2000,Debris and open burning,22371
34,2000,Equipment and vehicle use,6823
35,2000,Natural,16907
36,2001,Arson/incendiarism,17208
37,2001,Debris and open burning,22071
38,2001,Equipment and vehicle use,6974
39,2001,Natural,14255
40,2002,Arson/incendiarism,13125
41,2002,Debris and open burning,19821
42,2002,Equipment and vehicle use,5731
43,2002,Natural,12871
44,2003,Arson/incendiarism,9931
45,2003,Debris and open burning,12798
46,2003,Equipment and vehicle use,5774
47,2003,Natural,14090
48,2004,Arson/incendiarism,11380
49,2004,Debris and open burning,17291
50,2004,Equipment and vehicle use,5720
51,2004,Natural,11919
52,2005,Arson/incendiarism,15371
53,2005,Debris and open burning,19982
54,2005,Equipment and vehicle use,7815
55,2005,Natural,11687
56,2006,Arson/incendiarism,19825
57,2006,Debris and open burning,27146
58,2006,Equipment and vehicle use,10215
59,2006,Natural,17900
60,2007,Arson/incendiarism,13790
61,2007,Debris and open burning,20139
62,2007,Equipment and vehicle use,7598
63,2007,Natural,13083
64,2008,Arson/incendiarism,9658
65,2008,Debris and open burning,19950
66,2008,Equipment and vehicle use,7820
67,2008,Natural,10194
68,2009,Arson/incendiarism,9174
69,2009,Debris and open burning,19135
70,2009,Equipment and vehicle use,6539
71,2009,Natural,10572
72,2010,Arson/incendiarism,10356
73,2010,Debris and open burning,20739
74,2010,Equipment and vehicle use,6219
75,2010,Natural,9261
76,2011,Arson/incendiarism,9609
77,2011,Debris and open burning,22180
78,2011,Equipment and vehicle use,7581
79,2011,Natural,12991
80,2012,Arson/incendiarism,9210
81,2012,Debris and open burning,17145
82,2012,Equipment and vehicle use,5713
83,2012,Natural,11558
84,2013,Arson/incendiarism,6317
85,2013,Debris and open burning,17143
86,2013,Equipment and vehicle use,4693
87,2013,Natural,10423
88,2014,Arson/incendiarism,6618
89,2014,Debris and open burning,20348
90,2014,Equipment and vehicle use,4980
91,2014,Natural,8843
92,2015,Arson/incendiarism,6383
93,2015,Debris and open burning,18895
94,2015,Equipment and vehicle use,5958
95,2015,Natural,10152
96,2016,Arson/incendiarism,9855
97,2016,Debris and open burning,22254
98,2016,Equipment and vehicle use,6593
99,2016,Natural,8047
100,2017,Arson/incendiarism,7470
101,2017,Debris and open burning,21482
102,2017,Equipment and vehicle use,7407
103,2017,Natural,8752
104,2018,Arson/incendiarism,6019
105,2018,Debris and open burning,18674
106,2018,Equipment and vehicle use,7385
107,2018,Natural,7803
